Provincia,Unnamed: 1,Localidad,ADSL,CABLEMODEM,Unnamed: 5,FIBRAOPTICA,4G,3G,Unnamed: 9,WIRELESS,Unnamed: 11
0,La Capital,Mosmota,--,0,--,--,--,0,--,0,--
0,La Capital,Potrero de los Funes,0,0,--,--,0,0,SI,0,--
SAN LUIS,0,Pozo Del Carril,--,--,0,--,--,--,0,--,0
SAN LUIS,0,0,--,--,0,0,--,--,0,SI,0
SAN LUIS,La Capital,0,--,--,--,0,--,--,--,0,--
SAN LUIS,0,San Luis,SI,SI,0,SI,SI,SI,0,SI,SI
SAN LUIS,La Capital,San Roque,0,--,--,--,0,SI,--,--,0
0,La Capital,Santa Rosa,0,0,--,--,--,0,--,--,0
SAN LUIS,0,0,--,--,0,0,--,--,0,SI,--
SAN LUIS,La Capital,0,--,--,--,0,--,--,--,0,--
SAN LUIS,Libertador Grl San Martín,0,--,--,--,0,--,--,--,--,0
SAN LUIS,0,Cabeza De Novillo,--,--,0,--,--,--,0,--,0
0,Libertador Grl San Martín,Casa De Los Tigres,0,0,--,--,0,--,--,--,--
0,Libertador Grl San Martín,El Estanquito,--,0,--,--,--,0,--,0,--
0,Libertador Grl San Martín,El Paraguay,0,0,--,--,0,0,--,--,0
SAN LUIS,Libertador Grl San Martín,El Paraiso,0,--,--,--,0,--,--,--,0
SAN LUIS,0,0,--,--,0,0,--,--,0,0,--
SAN LUIS,Libertador Grl San Martín,0,--,--,--,0,--,--,--,0,--
SAN LUIS,Libertador Grl San Martín,La Ramada,0,--,--,--,0,--,--,SI,--
0,Libertador Grl San Martín,La Totora,0,0,--,--,0,0,--,--,0
SAN LUIS,0,La Vertiente,--,--,0,--,--,--,0,SI,SI
SAN LUIS,0,0,--,--,--,0,--,--,--,0,--
0,Libertador Grl San Martín,Paso Grande,--,0,--,SI,--,0,SI,SI,--
SAN LUIS,Libertador Grl San Martín,Planta De Sandia,0,--,--,--,0,0,--,--,0
SAN LUIS,Libertador Grl San Martín,Potrerillo,0,--,--,--,0,--,--,0,--
0,Libertador Grl San Martín,Puerta Colorada,0,0,--,--,0,0,--,--,--
SAN LUIS,Libertador Grl San Martín,0,--,--,--,0,--,--,--,--,0
SAN LUIS,0,0,--,--,0,0,--,--,0,--,--
0,Libertador Grl San Martín,San Isidro,--,0,--,--,--,0,--,0,--
SAN LUIS,Libertador Grl San Martín,San Martín,0,--,SI,SI,0,--,SI,0,--
0,Libertador Grl San Martín,San Vicente,--,0,--,--,--,0,--,--,0
SAN LUIS,Libertador Grl San Martín,Tala Verde,0,--,--,--,0,0,--,--,--
SAN LUIS,0,Villa de Praga,--,--,0,--,--,--,0,0,SI
SANTA CRUZ,0,0,SI,SI,0,0,SI,SI,SI,SI,SI
SANTA CRUZ,Corpen Aike,0,SI,--,SI,0,SI,--,SI,--,SI
SANTA CRUZ,0,0,--,SI,0,0,SI,SI,0,SI,0
SANTA CRUZ,Deseado,Cañadón Seco,0,--,--,SI,0,SI,--,SI,SI
0,Deseado,Fitz Roy,0,0,--,--,0,0,--,0,--
SANTA CRUZ,0,0,--,--,0,0,--,--,0,SI,0
SANTA CRUZ,Deseado,0,--,--,--,0,SI,SI,--,--,0
SANTA CRUZ,Deseado,Las Heras,0,0,--,SI,0,SI,--,0,SI
0,Deseado,Pico Truncado,--,0,--,SI,SI,0,--,0,SI
SANTA CRUZ,Deseado,0,SI,--,SI,0,SI,SI,0,--,0
SANTA CRUZ,0,Tellier,--,--,0,--,--,--,0,--,0
SANTA CRUZ,0,0,--,--,0,0,SI,SI,0,SI,SI
SANTA CRUZ,Güer Aike,0,--,--,--,0,--,--,--,0,SI
0,Güer Aike,Julia Dufour,0,0,--,--,0,0,--,--,0
SANTA CRUZ,Güer Aike,Mina 3,0,--,--,--,0,SI,--,--,0
SANTA CRUZ,Güer Aike,0,--,SI,SI,0,SI,SI,SI,0,SI
SANTA CRUZ,0,Rospentek,--,--,0,--,--,--,0,--,--
SANTA CRUZ,0,Yacimientos Río Turbio,--,--,0,--,SI,SI,0,--,0
SANTA CRUZ,0,0,SI,--,0,0,SI,SI,0,SI,0
0,Lago Argentino,El Chaltén,--,0,--,SI,--,0,SI,0,SI
0,Lago Argentino,Tres Lagos,0,0,--,--,0,0,SI,--,SI
SANTA CRUZ,Lago Buenos Aires,Los Antiguos,0,--,SI,--,0,--,SI,SI,0
0,Lago Buenos Aires,Perito Moreno,--,0,SI,--,0,0,SI,--,0
SANTA CRUZ,Magallanes,0,SI,SI,SI,0,SI,SI,SI,0,SI
SANTA CRUZ,0,Bajo Caracoles,--,--,0,--,--,--,0,0,SI
0,Río Chico,Gobernador Gregores,0,0,--,--,0,0,SI,--,0
SANTA CRUZ,Río Chico,Hipólito Yrigoyen,0,--,--,--,0,--,SI,--,--
SANTA FE,0,0,--,--,0,0,--,--,0,0,--
SANTA FE,0,Esteban Rams,--,--,0,--,SI,--,0,SI,SI
0,9 de Julio,Gato Colorado,0,0,--,--,0,0,SI,--,0
0,9 de Julio,Gregoria Pérez de Denis (Est El Nochero),--,0,--,--,SI,0,SI,SI,SI
0,9 de Julio,Independencia,--,0,--,--,--,0,--,--,--
SANTA FE,9 de Julio,Logroño,0,--,--,--,0,SI,SI,0,--
SANTA FE,0,Montefiore,--,--,0,0,--,--,0,SI,SI
SANTA FE,9 de Julio,0,--,--,--,0,SI,--,SI,SI,0
SANTA FE,9 de Julio,San Bernardo,0,--,--,--,0,--,SI,0,--
0,9 de Julio,Santa Margarita,0,0,--,--,0,0,SI,0,SI
SANTA FE,9 de Julio,Tostado,0,SI,--,--,0,SI,SI,SI,SI
0,9 de Julio,Villa Minetti,--,0,--,--,SI,0,SI,SI,0
SANTA FE,Belgrano,0,SI,--,--,0,SI,SI,SI,SI,--
SANTA FE,0,0,SI,--,0,0,SI,--,0,0,--
SANTA FE,0,Las Parejas,SI,--,0,SI,SI,SI,0,SI,0
SANTA FE,0,0,SI,SI,0,0,SI,SI,0,SI,--
0,Belgrano,Montes de Oca,SI,0,--,--,SI,0,SI,0,SI
0,Belgrano,Tortugas,0,0,--,--,0,0,SI,--,SI
SANTA FE,Caseros,0,SI,SI,0,0,SI,SI,SI,--,0
SANTA FE,0,Arteaga,SI,SI,0,--,SI,SI,0,SI,0
0,Caseros,Beravebú,0,0,--,--,0,0,SI,SI,--
SANTA FE,Caseros,Bigand,0,SI,--,--,0,SI,SI,0,--
SANTA FE,0,Casilda,SI,SI,0,SI,SI,SI,0,SI,0
SANTA FE,Caseros,0,SI,--,--,0,SI,SI,SI,SI,0
SANTA FE,0,0,SI,SI,0,0,SI,SI,0,0,--
SANTA FE,0,Bauer y Sigel,SI,--,0,--,--,--,0,0,--
0,Castellanos,Bella Italia,0,0,--,SI,0,0,SI,SI,0
0,Castellanos,Castellanos,--,0,--,--,--,0,SI,SI,--
SANTA FE,0,Colonia Bicha,SI,--,0,SI,SI,--,0,--,--
SANTA FE,Castellanos,0,--,--,--,0,SI,--,0,0,--
SANTA FE,0,0,--,SI,0,0,--,--,0,--,0
SANTA FE,0,Colonia Raquel,SI,--,0,SI,--,--,0,SI,--
0,Castellanos,Coronel Fraga,0,0,--,--,0,0,SI,0,--
0,Castellanos,Egusquiza,--,0,--,--,SI,0,--,0,--
0,Castellanos,Esmeralda,--,0,--,--,SI,0,SI,--,0
SANTA FE,Castellanos,Estación Clucellas,0,SI,--,--,0,--,SI,SI,0
SANTA FE,0,Estacion Presidente Roca,--,--,0,0,--,--,0,--,--
SANTA FE,Castellanos,0,--,SI,--,0,--,--,--,0,--
SANTA FE,Castellanos,Eusebia y Carolina,0,--,--,SI,0,--,--,--,0
0,Castellanos,Eustolia,0,0,--,--,0,0,--,SI,--
SANTA FE,0,Frontera,--,--,0,--,SI,SI,0,0,--
SANTA FE,0,0,--,--,0,0,--,--,0,--,--
0,General López,Lazzarino,--,0,--,--,SI,0,--,--,0
0,General Pedernera,Villa Mercedes,0,0,SI,SI,0,0,SI,SI,--
SAN LUIS,General Pedernera,Villa Reynolds,0,--,--,--,0,SI,--,--,--
0,General Pedernera,Villa Salles,--,0,--,--,0,0,--,0,--
SAN LUIS,Gobernador Dupuy,0,--,--,SI,0,SI,--,SI,SI,--
SAN LUIS,0,Arizona,--,--,0,--,SI,--,0,SI,0
0,Gobernador Dupuy,Bagual,0,0,--,--,0,0,SI,0,--
SAN LUIS,Gobernador Dupuy,Batavia,0,--,--,--,0,--,SI,SI,SI
SAN LUIS,Gobernador Dupuy,Buena Esperanza,0,0,SI,--,0,--,SI,SI,0
0,Gobernador Dupuy,Fortín El Patria,--,0,--,--,SI,0,SI,SI,SI
SAN LUIS,Gobernador Dupuy,0,--,--,SI,0,--,--,0,0,SI
SAN LUIS,0,La Maroma,--,--,0,--,--,--,0,--,SI
SAN LUIS,0,0,--,--,0,0,--,--,0,--,--
SAN LUIS,Gobernador Dupuy,0,--,--,--,0,--,--,--,SI,0
0,Gobernador Dupuy,Nahuel Mapá,0,0,--,--,0,0,SI,SI,--
SAN LUIS,Gobernador Dupuy,Navia,0,--,--,--,0,--,--,0,SI
SAN LUIS,Gobernador Dupuy,0,--,--,--,0,SI,--,SI,SI,0
SANTA FE,0,Humberto Primo,SI,SI,0,SI,SI,SI,0,SI,--
0,Castellanos,Josefina,SI,0,--,--,SI,0,SI,0,--
SANTA FE,Castellanos,Lehmann,0,SI,--,SI,0,0,SI,SI,--
SANTA FE,0,María Juana,SI,SI,0,SI,SI,SI,0,SI,0
SANTA FE,0,0,--,--,0,0,--,--,--,--,0
SANTA FE,Castellanos,0,SI,SI,--,0,SI,SI,SI,0,--
SANTA FE,0,0,--,SI,0,0,SI,--,0,0,--
SANTA FE,Castellanos,Presidente Roca,0,SI,--,SI,0,--,SI,SI,--
0,Castellanos,Pueblo Marini,0,0,--,--,0,0,--,SI,0
SANTA FE,0,0,SI,SI,0,0,SI,SI,0,0,SI
SANTA FE,Castellanos,0,SI,--,--,0,SI,SI,SI,SI,--
SANTA FE,0,San Antonio,--,SI,0,--,--,--,0,SI,--
SANTA FE,0,0,SI,SI,--,0,SI,SI,SI,SI,0
0,Castellanos,Santa Clara de Saguier,SI,0,--,--,SI,0,SI,0,--
SANTA FE,Castellanos,Sunchales,0,SI,--,SI,0,0,SI,0,--
SANTA FE,Castellanos,Susana,0,--,--,SI,0,SI,SI,SI,0
0,Castellanos,Tacural,0,0,--,SI,0,0,SI,--,0
SANTA FE,Castellanos,0,SI,--,--,0,SI,SI,SI,0,--
SANTA FE,0,0,--,--,0,0,--,--,0,--,--
0,Castellanos,Villa San José,--,0,--,--,--,0,SI,SI,--
SANTA FE,Castellanos,Virginia,0,--,--,--,0,--,--,SI,0
SANTA FE,Castellanos,0,--,SI,--,0,SI,SI,--,--,--
SANTA FE,0,Alcorta,SI,SI,0,SI,SI,SI,0,0,--
0,Constitución,Barrio Arroyo del Medio,0,0,--,--,0,--,--,--,--
0,Constitución,Barrio Mitre,--,0,--,--,SI,0,--,--,0
0,Constitución,Bombal,0,0,--,SI,0,0,SI,0,--
SANTA FE,Constitución,Cañada Rica,0,--,--,--,0,--,SI,--,--
SANTA FE,0,0,--,--,0,0,--,--,0,SI,0
SANTA FE,Constitución,0,SI,--,--,0,SI,--,SI,--,--
SANTA FE,Constitución,Firmat,0,--,--,--,0,--,--,--,--
0,Constitución,General Gelly,0,0,--,--,0,0,--,0,--
0,Constitución,Godoy,--,0,--,--,SI,0,SI,SI,--
0,Constitución,Juan B Molina,0,0,--,--,0,0,SI,SI,0
SANTA FE,0,Juncal,SI,--,0,SI,--,--,0,SI,--
SANTA FE,0,0,--,--,0,0,--,--,0,0,--
SANTA FE,Constitución,0,SI,SI,--,0,SI,SI,SI,SI,0
SANTA FE,0,Pavón,SI,--,0,--,SI,SI,0,--,--
SANTA FE,Constitución,Pavón Arriba,0,--,--,SI,0,SI,SI,0,--
0,Constitución,Peyrano,0,0,--,--,SI,0,SI,--,--
SANTA FE,0,0,--,--,0,0,--,--,0,SI,--
SANTA FE,Constitución,0,SI,SI,--,0,SI,SI,SI,SI,0
0,Constitución,Sargento Cabral,0,0,--,SI,0,0,SI,SI,--
0,Constitución,Stephenson,--,0,--,--,SI,0,--,0,--
SANTA FE,0,0,--,--,0,0,SI,--,0,--,0
SANTA FE,0,Villa Constitución,SI,SI,0,SI,SI,SI,0,SI,0
SANTA FE,0,0,--,--,0,--,SI,SI,0,0,--
SANTA FE,Garay,0,--,SI,--,0,SI,--,SI,0,--
0,Garay,Los Zapallos,--,0,--,--,SI,0,SI,--,0
SANTA FE,Garay,Saladero Mariano Cabal,0,--,--,--,0,--,SI,SI,SI
SANTA FE,Garay,0,SI,SI,--,0,SI,SI,SI,--,--
SANTA FE,0,0,--,--,0,0,SI,--,0,0,--
SANTA FE,General López,0,SI,--,--,0,SI,SI,SI,SI,0
SANTA FE,0,0,SI,--,0,0,SI,SI,0,--,0
SAN JUAN,Jáchal,San José de Jáchal,0,--,SI,SI,0,SI,SI,0,SI
0,Jáchal,Tamberías,--,0,--,--,--,0,SI,0,--
0,Jáchal,Villa Malvinas Argentinas,--,0,--,--,--,0,--,SI,--
0,Jáchal,Villa Mercedes,0,0,--,--,0,0,SI,SI,0
SAN JUAN,0,Barrio Municipal,--,--,0,--,--,--,0,0,--
SAN JUAN,0,0,--,--,0,0,SI,SI,0,0,--
SAN JUAN,Pocito,Carpintería,0,--,--,--,0,--,SI,SI,0
0,Pocito,La Rinconada,--,0,--,--,SI,0,--,--,--
SAN JUAN,0,Las Piedritas,--,--,0,--,--,--,0,0,--
SAN JUAN,Pocito,0,--,--,--,0,SI,SI,SI,SI,--
0,Pocito,Villa Aberastain,--,0,--,--,0,0,--,SI,0
SAN JUAN,Pocito,Villa Aberastain - La Rinconada,0,--,SI,--,0,--,SI,SI,SI
0,Pocito,Villa Barbosa - Villa Nacusi,0,0,--,--,0,0,--,SI,--
0,Pocito,Villa Barboza,--,0,--,--,SI,0,--,0,--
SAN JUAN,0,0,--,--,0,0,SI,SI,0,SI,--
SAN JUAN,0,Villa Nacusi,--,--,0,--,--,--,0,--,0
0,Rawson,El Medanito,--,0,--,--,--,0,--,0,--
0,General López,Cañada del Ucle,0,--,--,--,0,--,SI,0,--
SANTA FE,General López,Carmen,0,--,--,--,0,SI,SI,SI,0
0,General López,Carreras,--,0,--,--,0,0,SI,SI,--
SANTA FE,General López,0,--,SI,--,0,SI,SI,SI,0,--
SANTA FE,0,Chovet,--,SI,0,--,SI,SI,0,--,SI
SANTA FE,0,Christophersen,--,--,0,SI,SI,--,0,SI,--
SANTA FE,0,0,SI,--,0,0,SI,SI,0,SI,0
0,General López,Elortondo,SI,0,--,--,SI,0,SI,--,--
0,General López,Firmat,0,0,--,SI,0,0,SI,0,--
SANTA FE,General López,0,--,--,--,0,SI,SI,SI,--,0
SANTA FE,0,La Chispa,--,--,0,--,--,--,0,SI,0
0,General López,Labordeboy,SI,0,--,--,SI,0,SI,0,--
SALTA,La Candelaria,El Tala,0,--,--,SI,0,SI,SI,SI,SI
SALTA,0,La Candelaria,--,--,0,0,SI,--,0,--,0
SALTA,La Poma,0,--,--,--,0,--,--,--,--,0
SALTA,0,0,--,--,0,0,--,--,0,0,--
SALTA,0,Ampascachi,--,--,0,--,--,--,0,0,--
0,La Viña,Cabra Corral,0,0,--,--,0,0,--,SI,--
0,La Viña,Coronel Moldes,SI,0,--,--,SI,0,SI,SI,0
SALTA,0,La Viña,--,--,0,SI,SI,--,0,0,SI
SALTA,0,0,--,--,--,0,--,--,--,SI,--
SALTA,Los Andes,0,--,--,--,0,--,--,--,SI,0
SALTA,0,0,--,--,0,0,SI,--,0,SI,SI
SALTA,Los Andes,Santa Rosa de los Pastos Grandes,0,--,--,SI,0,--,--,0,--
0,Los Andes,Tolar Grande,0,0,--,SI,0,0,--,0,SI
0,Metán,El Galpón,SI,0,--,SI,SI,0,SI,--,0
SALTA,Metán,El Tunal,0,--,--,SI,0,0,--,--,0
SALTA,0,Lumbreras,--,--,0,SI,--,--,0,--,--
SALTA,Grl José de San Martín,0,--,--,0,0,SI,--,--,0,--
0,Grl José de San Martín,Piquirenda,0,0,--,SI,0,0,--,--,0
0,Grl José de San Martín,Profesor Salvador Mazza,SI,0,--,SI,SI,0,SI,--,SI
SALTA,0,0,--,--,0,0,--,--,0,0,--
SALTA,Grl José de San Martín,0,SI,SI,--,0,SI,SI,SI,SI,SI
0,Grl José de San Martín,Tobantirenda,0,0,--,SI,0,0,--,--,0
SALTA,Grl José de San Martín,Tranquitas,0,--,--,--,0,--,--,--,--
0,Grl José de San Martín,Yacuy,0,0,--,SI,0,--,--,--,--
0,Guachipas,Guachipas,--,0,--,SI,SI,0,SI,0,SI
SALTA,Iruya,0,--,--,--,0,--,--,0,SI,--
SALTA,0,Isla de Cañas,--,--,0,--,SI,--,0,SI,0
0,Iruya,Pueblo Viejo,--,0,--,SI,--,0,--,0,--
0,La Caldera,La Caldera,0,0,--,SI,0,0,SI,SI,SI
0,La Caldera,Vaqueros,0,0,--,SI,0,0,SI,SI,--
SALTA,La Candelaria,El Jardín,0,--,--,SI,0,--,SI,--,0
SALTA,0,0,--,--,0,0,SI,--,0,--,SI
SALTA,Metán,0,--,--,--,0,--,--,--,0,--
SALTA,Metán,0,SI,--,--,0,SI,SI,0,--,0
SALTA,0,San José de Metán,SI,SI,0,SI,SI,SI,0,--,SI
0,Metán,San José de Orquera,0,0,--,SI,0,--,--,0,--
0,Molinos,La Puerta,--,0,--,--,--,0,--,--,--
SALTA,0,Molinos,SI,--,0,SI,SI,--,0,SI,--
SALTA,0,0,--,--,0,0,SI,--,0,SI,0
SALTA,Orán,Aguas Blancas,0,--,--,--,0,--,SI,0,SI
0,Orán,Colonia Santa Rosa,0,0,--,--,0,0,SI,0,SI
SALTA,Orán,0,--,SI,--,0,SI,--,SI,--,0
SALTA,0,0,SI,SI,0,0,SI,SI,0,SI,0
SALTA,0,La Misión,--,--,0,--,--,--,0,0,--
SALTA,0,0,SI,SI,0,0,SI,SI,SI,0,SI
0,General López,Maggiolo,SI,0,--,--,SI,0,SI,SI,0
SANTA FE,General López,María Teresa,0,SI,--,--,0,SI,SI,SI,--
SANTA FE,0,0,--,--,0,0,SI,SI,0,SI,--
SANTA FE,0,Miguel Torres,--,SI,0,--,--,--,0,0,--
SANTA FE,0,0,--,--,0,SI,SI,SI,0,--,--
SANTA FE,General López,0,SI,SI,--,0,SI,SI,SI,--,0
0,General López,San Eduardo,SI,0,--,SI,SI,0,SI,0,--
SANTA FE,General López,San Francisco de Santa Fe,0,--,--,SI,0,--,SI,0,SI
0,General López,San Gregorio,0,0,--,SI,0,0,SI,SI,0
0,General López,Sancti Spiritu,SI,0,--,SI,SI,0,SI,SI,0
SAN JUAN,0,0,--,--,0,0,--,--,0,0,--
SAN JUAN,0,Colonia Fiscal,--,--,0,--,--,--,0,0,--
0,Sarmiento,Divisadero,--,0,--,--,SI,0,SI,SI,--
SAN JUAN,Sarmiento,Guanacache,0,--,--,--,0,0,SI,SI,0
SAN JUAN,Sarmiento,0,--,--,--,0,SI,SI,--,--,SI
SAN JUAN,0,Los Berros,--,--,0,SI,SI,SI,0,0,--
SAN JUAN,Sarmiento,Pedernal,0,--,--,--,0,--,--,SI,--
0,Sarmiento,Punta del Médano,0,0,--,--,SI,0,SI,SI,0
0,Sarmiento,Villa Media Agua,--,0,--,SI,SI,0,SI,0,--
0,Ullum,Villa Ibáñez,0,0,SI,--,0,0,SI,SI,--
SAN JUAN,0,Astica,--,--,0,--,SI,SI,0,SI,0
SAN JUAN,0,0,--,--,0,0,--,--,0,--,--
SAN JUAN,Valle Fértil,Chucuma,0,0,--,--,0,SI,--,--,--
0,Valle Fértil,Los Baldecitos,--,0,--,--,SI,0,SI,0,--
0,Valle Fértil,Usno,0,0,--,--,0,0,--,--,0
0,Valle Fértil,Villa San Agustín,--,0,--,SI,SI,0,SI,SI,SI
SAN JUAN,0,0,--,--,0,0,SI,SI,0,0,--
SAN LUIS,0,Balde De Los Torres,--,--,0,--,--,--,0,--,--
SAN LUIS,0,Balde Del Carmen,--,--,0,--,--,--,0,--,--
SAN LUIS,Ayacucho,0,--,--,--,0,--,--,--,--,0
0,Ayacucho,Baldecito De La Pampa,0,0,--,--,0,0,--,--,--
SAN LUIS,Ayacucho,Candelaria,0,--,--,--,0,--,SI,0,--
SAN LUIS,Ayacucho,0,--,--,--,0,--,--,--,--,0
SAN LUIS,0,0,--,--,0,0,--,--,0,--,0
0,Ayacucho,El Injerto,--,0,--,--,--,0,--,0,--
0,Ayacucho,El Rincon,0,0,--,--,0,0,--,0,--
SAN LUIS,0,El Vinagrillo,--,--,0,--,--,--,0,--,0
SAN LUIS,0,0,--,--,0,0,--,--,0,--,0
SAN LUIS,Ayacucho,0,--,--,--,0,--,--,--,--,--
SAN LUIS,0,La Avenencia,--,--,0,0,--,--,0,0,--
SAN LUIS,Ayacucho,La Botija,0,--,--,--,0,--,--,--,0
0,Ayacucho,La Brea,--,0,--,--,--,0,--,--,0
SAN LUIS,0,0,--,--,0,0,--,--,0,0,--
SAN LUIS,Ayacucho,0,--,--,--,0,--,--,--,--,--
SAN LUIS,0,0,--,--,0,0,--,--,0,--,--
SAN LUIS,Ayacucho,0,--,--,--,0,--,--,--,--,0
0,Ayacucho,Las Chimbas,--,0,--,--,--,0,--,--,--
SAN LUIS,Ayacucho,Las Lagunitas,0,--,--,--,0,--,--,0,--
0,Ayacucho,Leandro N Alem,0,0,--,--,0,0,--,SI,0
0,Ayacucho,Lomas Blancas,--,0,--,--,--,0,--,SI,--
SAN LUIS,0,0,--,--,0,0,--,--,0,0,--
SAN LUIS,0,Luján,--,--,0,--,--,--,0,SI,--
0,Ayacucho,Pampa Grande,--,0,--,SI,--,0,--,--,--
SAN LUIS,Ayacucho,Pozo Del Molle,0,--,--,--,0,0,--,--,0
SAN LUIS,Ayacucho,0,--,--,--,0,SI,--,--,SI,SI
SAN LUIS,0,Río Juan Gómez,--,--,0,--,--,--,0,0,--
SAN LUIS,Ayacucho,Rodeo De Cadenas,0,--,--,--,0,--,--,--,0
0,Belgrano,Villa de la Quebrada,0,0,--,SI,0,0,--,SI,0
0,Belgrano,Villa General Roca,--,0,--,SI,--,0,--,0,--
0,Chacabuco,Balcarce,0,0,--,--,0,0,--,0,--
SAN LUIS,0,Colonia Zubelzu,--,--,0,--,--,--,0,--,0
SAN LUIS,0,0,--,--,0,0,SI,SI,0,SI,SI
SAN LUIS,Chacabuco,Cortaderas,0,0,--,SI,0,SI,SI,SI,--
0,Chacabuco,El Algarrobal,--,0,--,SI,--,0,--,0,--
0,Chacabuco,El Churrasco,0,0,--,--,0,0,--,--,--
SAN LUIS,Chacabuco,El Recuerdo,0,--,--,--,0,--,--,--,0
SAN LUIS,0,0,--,--,0,0,--,--,0,0,--
SAN LUIS,Chacabuco,0,--,--,--,0,--,--,--,0,--
SAN LUIS,Chacabuco,0,--,--,--,0,--,--,--,--,0
SAN LUIS,0,La Celestina,--,--,0,--,--,--,0,--,0
0,Chacabuco,Las Rosas,0,--,--,--,0,--,--,0,--
0,Chacabuco,Naschel,--,0,--,--,SI,0,SI,SI,--
SAN LUIS,0,Papagayos,--,--,0,--,--,--,0,SI,--
SAN LUIS,0,0,--,--,0,0,--,--,0,--,0
SAN LUIS,Chacabuco,Punta De La Loma,0,--,--,--,0,--,--,--,--
0,Chacabuco,Renca,0,0,--,--,0,0,--,0,--
SAN LUIS,Chacabuco,0,--,--,--,0,--,--,--,--,--
SAN LUIS,0,0,--,--,0,0,--,--,0,--,0
SAN LUIS,0,San Pablo,--,--,0,--,--,--,0,0,--
SAN LUIS,0,0,--,--,--,0,--,--,--,--,--
0,Chacabuco,Tilisarao,--,0,--,--,SI,0,--,SI,0
SAN LUIS,Chacabuco,Villa del Carmen,0,--,--,--,0,--,SI,SI,--
SAN LUIS,0,0,--,--,0,0,SI,--,0,0,--
SAN LUIS,0,San Ignacio,--,--,0,--,--,--,0,0,--
SAN LUIS,Ayacucho,0,--,--,--,0,--,--,--,--,0
SAN LUIS,0,0,--,--,0,0,--,--,0,--,--
SAN LUIS,Ayacucho,Santa Ana,0,--,--,--,0,--,--,0,--
0,Ayacucho,Santa Rosa De Catantal,0,0,--,--,0,0,--,--,--
0,Ayacucho,Santa Teresa,--,0,--,--,--,0,--,--,--
SAN LUIS,Ayacucho,Santo Domingo,0,--,--,--,0,0,--,--,0
SAN LUIS,0,Talita,--,--,0,--,--,--,0,--,--
SAN LUIS,Belgrano,0,--,--,0,0,--,--,--,0,--
0,Belgrano,Bella Estancia,0,0,--,--,0,0,--,--,0
0,Belgrano,Buen Orden,--,0,--,--,--,0,--,--,--
SAN LUIS,0,0,--,--,0,0,--,--,0,0,--
SAN LUIS,Belgrano,0,--,--,--,0,--,--,--,--,--
0,Belgrano,El Recodo,0,0,--,--,0,0,--,--,0
SAN LUIS,Belgrano,Estancia De Amieva,0,--,--,--,0,--,--,--,0
SAN LUIS,Belgrano,Hualtaran,0,0,--,--,0,--,--,0,--
0,Belgrano,La Calera,--,0,--,SI,--,0,SI,0,--
SAN LUIS,Belgrano,0,--,--,--,0,--,--,0,--,0
SAN LUIS,0,Los Molles,--,--,0,--,--,--,0,SI,0
0,Belgrano,Los Ramblones,--,0,--,--,--,0,--,0,--
0,Belgrano,Naranjo Esquino,0,0,--,--,0,0,--,--,--
SAN LUIS,Belgrano,Nogolí,0,--,--,SI,0,--,SI,SI,0
0,Belgrano,Pozo Cavado,0,0,--,--,0,0,--,--,0
SAN LUIS,Belgrano,0,--,--,--,0,--,--,--,0,--
SAN LUIS,0,Represa Del Carmen,--,--,0,--,--,--,0,0,--
SAN LUIS,0,San Antonio,--,--,0,--,--,--,0,--,0
SAN LUIS,0,0,--,--,0,0,--,--,0,SI,0
0,Belgrano,Santa Rosa Del Gigante,--,0,--,--,--,0,--,--,--
0,Belgrano,Suyuque Nuevo,0,0,--,--,0,0,--,0,--
SAN LUIS,Belgrano,0,--,--,--,0,--,--,--,--,0
SAN LUIS,0,Villa Larca,--,--,0,--,SI,SI,0,SI,--
0,Coronel Pringles,Balde De La Isla,--,0,--,--,--,0,--,0,--
SAN LUIS,Coronel Pringles,Carolina,0,--,--,--,0,--,SI,SI,--
SAN LUIS,0,Cerros Largos,--,--,0,0,--,--,0,--,0
SAN LUIS,Coronel Pringles,0,--,--,--,0,--,--,--,--,--
SAN LUIS,0,0,--,--,0,0,--,--,0,--,--
SAN LUIS,0,El Baldecito,--,--,0,--,--,--,0,0,--
0,Coronel Pringles,El Durazno,0,0,--,--,0,0,--,SI,--
0,Coronel Pringles,El Trapiche,--,0,--,--,SI,0,SI,SI,0
SAN LUIS,0,Eleodoro Lobos,--,--,0,--,SI,SI,0,0,--
SAN LUIS,0,0,--,--,--,0,--,--,--,--,--
SAN LUIS,0,Fraga,--,--,0,SI,SI,--,0,SI,--
SAN LUIS,0,0,--,--,0,0,--,--,0,--,0
0,Coronel Pringles,La Bajada,--,0,--,--,--,0,--,SI,--
0,Coronel Pringles,La Florida,0,0,--,--,0,0,--,0,--
SAN LUIS,Coronel Pringles,La Petra,0,--,--,--,0,--,--,--,0
0,Coronel Pringles,La Toma,SI,0,--,--,SI,0,--,SI,--
SAN LUIS,Coronel Pringles,0,--,--,--,0,SI,SI,--,0,--
SAN LUIS,0,0,--,--,0,--,--,SI,0,--,--
0,Coronel Pringles,Las Pircas,0,0,--,--,0,0,--,--,0
SAN LUIS,Coronel Pringles,Loma Alta,0,--,--,--,0,--,--,--,0
SAN LUIS,0,0,--,--,0,0,--,--,0,0,--
SAN LUIS,0,Pampa Del Tamboreo,--,--,0,--,--,--,0,0,--
0,Coronel Pringles,Paso Del Rey,0,0,--,--,0,0,--,--,--
