Provincia,Unnamed: 1,Localidad,ADSL,CABLEMODEM,Unnamed: 5,FIBRAOPTICA,4G,3G,Unnamed: 9,WIRELESS,Unnamed: 11
BUENOS AIRES,Berisso,Villa Nueva,0,--,--,SI,0,SI,--,SI,--
0,Berisso,Villa Porteña,0,0,--,--,0,0,--,0,--
BUENOS AIRES,Berisso,0,--,--,--,0,--,--,--,SI,0
BUENOS AIRES,0,0,--,--,0,0,SI,SI,0,--,0
BUENOS AIRES,0,Villa Zula,--,--,0,--,--,--,0,0,--
BUENOS AIRES,Bolívar,0,SI,--,0,0,--,--,SI,0,--
0,Bolívar,Juan F Ibarra,--,0,--,--,--,0,--,--,0
BUENOS AIRES,Bolívar,Mariano Unzué,0,--,--,--,0,0,--,--,0
BUENOS AIRES,0,0,--,--,0,0,--,--,0,--,SI
BUENOS AIRES,0,Pirovano,--,--,0,--,--,SI,0,0,--
0,Bolívar,San Carlos de Bolívar (Est Bolívar),0,0,SI,--,0,0,SI,SI,--
BUENOS AIRES,Bolívar,Urdampilleta,0,--,SI,--,0,SI,SI,SI,0
BUENOS AIRES,0,0,--,--,0,0,--,--,0,--,--
BUENOS AIRES,Bragado,0,--,--,--,0,--,--,--,0,--
CABA,COMUNA 12,0,SI,SI,SI,0,SI,SI,0,SI,0
CORDOBA,0,Alpa Corral,--,--,0,--,SI,SI,0,--,--
CORDOBA,Río Cuarto,Berrotarán,0,0,--,SI,0,SI,SI,0,--
0,Río Cuarto,Bulnes,SI,0,--,--,SI,0,--,--,SI
CORDOBA,0,Chaján,--,--,0,SI,SI,SI,0,--,SI
CORDOBA,0,0,SI,--,0,0,SI,SI,0,SI,0
0,Río Cuarto,Coronel Baigorria,0,0,--,SI,0,0,--,0,--
CHACO,San Lorenzo,Villa Berthet,0,--,--,SI,0,SI,--,SI,SI
CHACO,0,0,--,--,0,0,SI,SI,0,SI,0
CHACO,Sargento Cabral,0,--,--,--,0,SI,SI,SI,--,SI
CHACO,Sargento Cabral,0,--,--,--,0,SI,SI,0,SI,--
CHACO,0,Ingeniero Barbet,--,--,0,--,--,--,0,0,--
CHACO,Sargento Cabral,Las Garcitas,0,0,--,--,0,SI,SI,SI,SI
0,Tapenagá,Charadai,--,0,--,SI,SI,0,SI,--,0
CHACO,0,Cote Lai,--,--,0,--,SI,--,0,0,--
CHACO,0,0,--,--,0,0,--,--,0,--,--
CHACO,Tapenagá,Horquilla,0,--,--,--,0,--,--,--,0
0,Tapenagá,La Sabana,0,0,--,--,0,0,--,--,--
CHUBUT,Biedma,0,--,--,--,0,--,--,--,0,SI
CHUBUT,0,0,SI,SI,0,0,SI,SI,0,0,SI
CHUBUT,0,Puerto Pirámide,--,--,0,--,SI,SI,0,SI,0
CHUBUT,Biedma,0,--,--,0,0,SI,SI,--,SI,0
0,Cruz del Eje,Cruz del Eje,SI,0,--,SI,SI,0,SI,0,--
CORDOBA,Cruz del Eje,El Brete,0,--,--,SI,0,0,--,0,--
CORDOBA,0,0,--,--,0,0,--,--,0,--,0
CORDOBA,0,Guanaco Muerto,--,--,0,--,--,--,0,SI,--
CORDOBA,0,La Banda,--,--,0,0,--,--,0,0,SI
CORDOBA,Cruz del Eje,0,--,--,--,0,--,--,--,0,--
0,Cruz del Eje,La Higuera,SI,0,--,--,SI,0,SI,SI,0
CORDOBA,Cruz del Eje,Las Cañadas,0,--,--,--,0,--,--,--,0
0,Cruz del Eje,Las Playas,0,0,--,SI,0,0,--,0,--
0,Cruz del Eje,Los Chañaritos,--,0,--,SI,--,0,--,0,--
CORDOBA,0,0,--,--,0,0,--,--,0,SI,--
CORDOBA,0,Paso Viejo,SI,--,0,--,SI,SI,0,SI,0
0,Cruz del Eje,San Marcos Sierra,--,0,--,SI,SI,0,SI,0,--
CORDOBA,Cruz del Eje,Serrezuela,0,--,--,SI,0,0,SI,SI,--
CORDOBA,Cruz del Eje,0,--,--,--,0,--,--,--,SI,0
BUENOS AIRES,0,Chapadmalal,SI,--,0,SI,SI,SI,0,SI,SI
BUENOS AIRES,General Pueyrredón,El Marquesado,0,--,--,--,0,--,SI,0,--
