Provincia,Partido,,Poblacion,ADSL,CABLEMODEM,,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,,Latitud,Longitud
,Tigre,Benavídez,42781,,SI,--,SI,,SI,,SI,SI,6805010,,"-58,6887919689512"
BUENOS AIRES,Tigre,Dique Luján,,,SI,--,,--,SI,,SI,SI,,,"-58,6917925096496"
CABA,COMUNA 10,FLORESTA,,SI,SI,SI,,SI,SI,SI,,SI,2000010,"-34,6276862905939",
,Futaleufú,Los Cipreses,,,--,--,,,--,SI,--,,26035050,"-43,1847146210617","-71,6413919295155"
CHUBUT,Futaleufú,,6353,SI,--,,--,SI,SI,,SI,SI,,,"-71,4654853699539"
CHUBUT,,,28,--,,,--,SI,,SI,--,--,,"-42,9006375858067","-71,6061535113717"
CHUBUT,,28 de Julio,237,--,,--,SI,SI,,--,SI,,26042040,"-43,3809771295585","-65,8386877428492"
CHUBUT,Gaiman,,156,--,--,,--,--,--,SI,,,26042010,"-43,7032847513538",
,Gaiman,Dolavon,2887,,--,SI,SI,,--,SI,--,SI,,"-43,309297578868","-65,7087388385691"
,San Isidro,Martínez,,,SI,SI,,SI,SI,,SI,SI,,,"-58,5105732755943"
BUENOS AIRES,,,45403,SI,,,SI,SI,,SI,,SI,6756010,"-34,4770412162141",
BUENOS AIRES,,Villa Adelina,35473,SI,,--,SI,--,,SI,,,6756010,"-34,5151197673508",
,San Miguel,Bella Vista,,,SI,SI,,,SI,,SI,SI,6760010,,"-58,6960409885544"
BUENOS AIRES,San Miguel,Campo De Mayo,,--,--,--,,SI,--,,SI,SI,,,"-58,6513860167431"
BUENOS AIRES,,,28615,SI,,,SI,--,,SI,,SI,6760010,"-34,5557351629874",
CORDOBA,Cruz del Eje,,216,--,--,,--,--,SI,SI,,,14028030,"-30,8666932853441",
CORDOBA,,,130,--,,,--,--,SI,--,--,--,,"-31,0662466251544","-64,9425321672363"
BUENOS AIRES,,Berisso,87698,SI,,SI,SI,--,,,SI,SI,6098010,,"-57,8947472316799"
