Provincia,Partido,,Poblacion,ADSL,CABLEMODEM,,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,,Latitud,Longitud
,San Javier,La Brava,,,--,--,,,SI,,--,SI,82098040,,"-60,1409356882605"
,San Javier,Romang,7755,,SI,--,SI,,SI,SI,,,82098050,"-29,5018294527814",
,San Javier,San Javier,,--,SI,--,,--,SI,SI,,SI,82098060,"-30,5822068409869",
SANTA FE,,Arocena,1608,--,,--,--,--,,--,SI,SI,,"-32,0800271942926","-60,9770049639573"
SANTA FE,San Jerónimo,,391,--,--,,--,--,--,,--,--,82105020,,"-60,8760522539552"
SANTA FE,San Jerónimo,,4650,SI,--,,--,--,SI,SI,,SI,82105030,"-32,2366357816462",
SANTA FE,,,1655,--,,,--,--,,--,,,82105040,"-31,8320800807618",
SANTA FE,San Jerónimo,Barrio El Pacaá - Barrio Comipini,,--,--,--,,--,--,,--,--,82105050,,"-60,9282685049176"
,San Jerónimo,Bernardo de Irigoyen (Est. Irigoyen),,,--,--,,,--,,SI,SI,,,"-61,1572748282837"
SANTA FE,,Casalegno,158,--,,--,--,--,,SI,--,,82105070,"-32,2638306241466","-61,1261488657874"
SANTA FE,San Jerónimo,,2870,SI,--,,--,--,--,SI,,,82105080,"-32,298023717348",
SANTA FE,San Jerónimo,Coronda,,SI,SI,--,,--,SI,SI,SI,SI,,"-31,975646712145","-60,9201341188126"
,San Jerónimo,Desvío Arijón,946,,--,--,--,,SI,,SI,SI,,,"-60,8896993521491"
SANTA FE,,,1721,SI,--,,SI,--,--,SI,--,,82105110,"-32,3750588242506","-61,091442512126"
SANTA FE,,Gaboto,2788,--,,--,--,--,,SI,,,82105120,"-32,4343760818819",
SANTA FE,,,19061,SI,,,SI,SI,,,SI,SI,,,"-61,2199610274248"
SANTA FE,San Jerónimo,,857,SI,--,,SI,--,SI,SI,--,SI,,"-31,8770449531764","-61,1288367653984"
,San Jerónimo,Irigoyen,,,SI,--,,,SI,--,,SI,82105150,"-32,16077341012",
SANTA FE,San Jerónimo,Larrechea,,--,--,--,,--,SI,SI,--,,82105160,"-31,9361305275575","-61,0477166860408"
SANTA FE,San Jerónimo,,225,SI,--,,SI,--,--,,--,--,,,"-61,1783800456556"
SANTA FE,,López (Est. San Martín de Tours),1368,SI,,,--,--,,,--,SI,82105180,,"-61,2799295377437"
SANTA FE,San Jerónimo,,5634,SI,SI,,--,--,SI,SI,,,82105190,"-32,4587652553057",
SANTA FE,,,1838,SI,,,SI,--,,SI,SI,,82105200,"-32,358735658961","-60,9429043010117"
SANTA FE,San Jerónimo,Puerto Aragón,,--,--,--,,--,--,,--,--,82105210,,"-60,9239839784214"
,San Jerónimo,San Eugenio,,,--,--,,,--,--,--,SI,,"-32,0768953861827","-61,1174234926527"
,San Jerónimo,San Fabián,820,,SI,--,--,,SI,SI,--,,82105230,"-32,1383718722873","-60,9832660246346"
SANTA FE,San Jerónimo,San Genaro,,SI,--,--,,,SI,SI,,SI,82105240,"-32,3735383941398",
SANTA FE,,San Genaro Norte,4661,SI,,--,SI,--,,SI,--,SI,,"-32,3658073636946","-61,3401798286706"
SANTA FE,San Justo,,62,--,,,--,--,SI,,--,--,,,"-60,6486098681792"
,San Justo,Cayastacito,,,--,--,,,SI,SI,,--,82112020,"-31,1150071573313",
,San Justo,Colonia Dolores,502,,--,--,--,,SI,--,,,82112030,"-30,3836825866932",
SANTA FE,,,41,--,,,--,--,,,--,--,82112040,,"-60,6448661369776"
SANTA FE,San Justo,,5335,SI,SI,,--,--,SI,,SI,SI,,"-30,3648346894928","-60,4011684048308"
,San Justo,La Criolla (Est. Cañadita),,,--,--,,,SI,SI,,SI,82112060,"-30,2261579523496",
SANTA FE,San Justo,La Penca y Caraguatá,,--,--,--,,--,SI,SI,,,82112070,"-30,3484964424709",
,San Justo,Marcelino Escalada,,,--,--,,--,SI,,SI,SI,,,"-60,4693860436357"
,San Justo,Naré,341,,--,--,--,,SI,,--,--,82112090,,"-60,4682102211441"
TIERRA DEL FUEGO,Río Grande,,66475,SI,SI,,SI,SI,,SI,SI,,94007010,"-53,7870473449159","-67,7132350718047"
TIERRA DEL FUEGO,,Tolhuin,2626,SI,,--,--,SI,,SI,,SI,94007020,"-54,5113867546733",
,Ushuaia,Laguna Escondida,129,,--,--,--,,--,,SI,SI,,,"-67,766940855265"
,Ushuaia,Ushuaia,,,SI,SI,,,SI,SI,SI,SI,,"-54,8036404601709","-68,3160624772532"
TUCUMAN,Burruyacú,7 de Abril,,--,--,--,,SI,SI,--,,--,90007080,"-26,2918847472245",
,Burruyacú,Barrio San Jorge,,,--,--,,,--,--,,,90007010,"-26,6843396000243",
TUCUMAN,Burruyacú,,2395,--,--,,--,--,--,,SI,SI,90007020,,"-65,0693888917573"
TUCUMAN,,,238,--,,,--,--,,--,--,--,,,"-65,0483602838482"
TUCUMAN,,Garmendia,3059,--,,--,--,--,,SI,--,,90007040,"-26,5736893005766","-64,5576861101138"
TUCUMAN,Burruyacú,,1409,--,--,,--,--,,SI,,SI,90007050,"-26,6881473308745",
,Burruyacú,Macomitas,481,,--,--,--,,--,,SI,SI,,,"-65,0113600491402"
TUCUMAN,Burruyacú,Piedrabuena,,,--,--,,--,SI,,SI,SI,90007070,,"-64,6493040222716"
TUCUMAN,,,1409,--,,,--,--,,SI,,SI,90007090,"-26,5561603640592",
SAN LUIS,,Los Algarrobos Blancos,0,--,,--,--,--,,--,SI,,74056070,"-33,3374661935332","-66,3624600489592"
,La Capital,Mosmota,,,--,--,,,--,,--,--,74056110,,"-66,9934495323611"
SAN LUIS,La Capital,Potrero de los Funes,,--,--,--,,--,SI,SI,SI,SI,,"-33,2187787091432","-66,2307288183005"
SAN LUIS,,,0,--,,,--,--,,--,,,74056110,"-33,2004979408856",
SAN LUIS,La Capital,,76,--,--,,--,--,SI,SI,--,,74056130,"-33,501125039306","-66,6514406177997"
SAN LUIS,La Capital,,330,--,,,--,--,SI,--,--,--,,"-33,1383053611749","-66,5166859326585"
SAN LUIS,,San Luis,169947,SI,,SI,SI,SI,,,SI,SI,,,"-66,3360877357358"
SAN LUIS,La Capital,San Roque,,--,--,--,,,--,--,SI,,74056070,"-33,2720248979515","-66,2276619762377"
,La Capital,Santa Rosa,0,,--,--,--,,--,--,,,74056070,"-33,6369138718007",
SAN LUIS,,Varela,0,--,,--,--,--,,,--,--,74056140,,"-66,46370684"
SAN LUIS,,,201,--,,,--,--,,,--,--,,,"-66,415462549085"
SAN LUIS,Libertador Grl. San Martín,,0,--,--,,--,--,--,--,,,74063050,"-32,3300123695206",
SAN LUIS,,,0,--,,,--,--,,--,--,,74063050,"-32,38119255","-65,38616592"
SAN LUIS,Libertador Grl. San Martín,Casa De Los Tigres,,--,--,--,,--,--,,--,--,,,"-65,55541004"
,Libertador Grl. San Martín,El Estanquito,0,,--,--,--,,--,--,--,--,,"-32,512546681399","-65,768145317185"
,Libertador Grl. San Martín,El Paraguay,0,,--,--,--,,--,--,--,,74063020,"-32,7635126293313","-65,6587252495687"
,Libertador Grl. San Martín,El Paraiso,,,--,--,,,--,--,,,74063050,"-32,57970728",
SAN LUIS,,El Puesto,0,--,,--,--,--,,--,--,--,,"-32,34642911","-65,46720015"
SAN LUIS,,,0,--,,,--,--,,,--,--,74063010,,"-65,4195124"
SAN LUIS,Libertador Grl. San Martín,La Ramada,,--,--,--,,--,SI,--,,--,74063020,"-32,69361676",
,Libertador Grl. San Martín,La Totora,0,,--,--,--,,--,--,,,74063020,"-32,68103703",
SAN LUIS,,La Vertiente,98,--,,--,--,SI,,,--,--,74063010,,"-65,75689743163"
SAN LUIS,Libertador Grl. San Martín,,100,--,--,,--,--,SI,,--,--,,,"-65,5012041382003"
,Libertador Grl. San Martín,Paso Grande,,,--,--,,,SI,SI,,--,74063050,"-32,8769737284291",
SAN LUIS,Libertador Grl. San Martín,Planta De Sandia,,--,--,--,,--,--,--,--,,74063020,"-32,76799349","-65,54885162"
,Libertador Grl. San Martín,Potrerillo,,,--,--,,,SI,--,--,--,,,"-65,6626272217675"
,Libertador Grl. San Martín,Puerta Colorada,0,,--,--,--,,--,,--,--,74063010,,"-65,39953581"
SAN LUIS,,,0,--,,,--,--,,--,,,74063050,"-32,4615843296251",
SAN LUIS,,San Fernando,0,--,,--,--,--,,--,,--,74063020,"-32,71332748",
,Libertador Grl. San Martín,San Isidro,0,,--,--,--,,--,,--,--,,,"-65,5271625081663"
,Libertador Grl. San Martín,San Martín,,SI,--,SI,,--,SI,SI,--,--,,"-32,4132690463752","-65,6759306690121"
,Libertador Grl. San Martín,San Vicente,,,--,--,,,--,--,,,74063050,"-32,30836924",
SAN LUIS,Libertador Grl. San Martín,Tala Verde,,--,--,--,,--,--,--,,--,74063050,"-32,40896557",
SAN LUIS,,Villa de Praga,181,--,,--,--,SI,,SI,--,--,,,"-65,6477042790938"
SANTA CRUZ,Corpen Aike,,6405,SI,SI,,--,SI,SI,,SI,SI,78007010,,"-68,9130816915927"
SANTA CRUZ,,,4431,SI,,,SI,SI,,SI,,SI,78007020,"-50,0171892721878",
SANTA CRUZ,,Caleta Olivia,51733,--,,--,SI,SI,,--,SI,,78014010,"-46,4459492303195","-67,5251564969847"
,Deseado,Cañadón Seco,,,--,--,,,SI,,SI,--,78014020,,"-67,616856368573"
,Deseado,Fitz Roy,326,,--,--,--,,--,,SI,SI,,,"-67,2542856564871"
SANTA CRUZ,,Jaramillo,420,--,,--,--,SI,,SI,--,,78014040,"-47,1847032165887","-67,145582198474"
SANTA CRUZ,Deseado,,250,--,--,,--,--,,--,,SI,78014050,"-46,7168267498228",
SANTA CRUZ,Deseado,Las Heras,,--,--,--,,SI,SI,--,SI,SI,,"-46,5424553787867","-68,9341773229667"
,Deseado,Pico Truncado,20889,,--,--,SI,,SI,,SI,SI,78014070,,"-67,9575704898943"
SANTA CRUZ,Deseado,,14183,SI,--,,--,SI,--,SI,SI,,78014080,"-47,7514649275067","-65,9012043680086"
SANTA CRUZ,,,58,--,,,--,SI,,--,,,78014090,"-47,6487686074581",
SANTA CRUZ,,28 de Noviembre,6145,--,,--,SI,SI,,,SI,SI,,,"-72,2080410883792"
SANTA CRUZ,,,55,--,,,--,SI,,--,--,--,,"-51,6805338519685","-72,0874860687819"
,Güer Aike,Julia Dufour,293,,--,--,--,,--,--,,,78021020,"-51,5406111767208",
,Güer Aike,Mina 3,,,--,--,,,--,--,SI,,78021030,"-51,5487660455569","-72,2333909775383"
SANTA CRUZ,Güer Aike,,95796,--,,,SI,SI,--,,SI,SI,,,"-69,2290509293744"
SANTA CRUZ,,Rospentek,677,--,,--,--,--,,,--,--,78021050,,"-72,1426988306974"
SANTA CRUZ,,,8814,--,,,--,SI,,SI,SI,,78021070,"-51,5328383738253","-72,3341032077956"
SANTA CRUZ,Lago Argentino,,16655,SI,--,,SI,SI,SI,SI,,,78028010,"-50,3373208485428",
,Lago Argentino,El Chaltén,,,--,--,,,SI,SI,--,--,,"-49,3319731177032","-72,8916267088672"
SANTA CRUZ,Lago Argentino,Tres Lagos,,--,--,--,,SI,--,,--,--,,,"-71,445802241684"
SANTA CRUZ,Lago Buenos Aires,Los Antiguos,,--,--,SI,,SI,SI,SI,,,78035010,"-46,5487484894558",
,Lago Buenos Aires,Perito Moreno,4617,,SI,SI,--,,--,SI,SI,,78035020,"-46,5921416878797","-70,9257278426639"
SANTA CRUZ,,,7894,SI,SI,,--,SI,SI,,SI,SI,78042010,,"-67,7319702926075"
SANTA CRUZ,,Bajo Caracoles,33,--,,--,--,SI,,SI,--,--,,"-47,4461490043983","-70,9285155605965"
,Río Chico,Gobernador Gregores,4497,,--,--,--,,--,SI,,,78049020,"-48,7521223249696",
,Río Chico,Hipólito Yrigoyen,,,--,--,,,--,SI,,--,78049030,"-47,5667812360399",
SANTA FE,9 de Julio,,0,--,--,,--,--,--,,--,--,,,"-61,6024410919082"
SANTA FE,,,169,--,,,--,SI,,,--,SI,82077010,,"-61,4881512346811"
SANTA FE,9 de Julio,Gato Colorado,,--,--,--,,SI,--,SI,--,,82077020,"-28,0245785095892","-61,1879373297868"
,9 de Julio,Gregoria Pérez de Denis (Est. El Nochero),,,--,--,,,SI,SI,,SI,82077030,"-28,2296230607257",
,9 de Julio,Independencia,0,,--,--,--,,--,,--,--,82077020,,"-61,755619"
,9 de Julio,Logroño,,SI,--,--,,--,SI,SI,SI,SI,,,"-61,6967327802837"
SANTA FE,,Montefiore,146,--,,--,--,SI,,SI,,--,82077050,"-29,6678698226711",
SANTA FE,9 de Julio,,980,--,--,,--,--,SI,SI,,,82077060,"-28,9399423031181",
,9 de Julio,San Bernardo,,,--,--,,,SI,SI,--,--,,"-28,6300342810186","-61,5069219893981"
,9 de Julio,Santa Margarita,993,,--,--,--,,SI,,--,SI,,,"-61,550329937355"
SANTA FE,9 de Julio,Tostado,,,SI,--,,SI,SI,SI,,SI,82077080,"-29,2344732488739",
,9 de Julio,Villa Minetti,4876,,--,--,--,,SI,SI,,,82077090,"-28,6247095403571","-61,6279859869967"
SANTA FE,Belgrano,,11181,SI,--,,SI,--,,,SI,SI,82007010,,"-61,605481877095"
SANTA FE,,Bouquet,1230,SI,,--,--,--,,,--,SI,,,"-61,8903345863257"
SANTA FE,,,12375,SI,,,SI,--,,SI,,,82007030,"-32,6826842550048",
SANTA FE,Belgrano,,13068,SI,SI,,SI,--,SI,SI,,SI,82007040,"-32,4785768176046",
,Belgrano,Montes de Oca,,,--,--,,,SI,SI,--,SI,,"-32,567997020224","-61,7680762352029"
SANTA FE,Belgrano,Tortugas,,SI,--,--,,SI,--,,SI,SI,82007060,,"-61,8203359267394"
SANTA FE,Caseros,,6533,SI,SI,,--,--,--,SI,,,82014010,"-33,1483008378636",
SANTA FE,,Arteaga,3089,SI,,--,--,--,,SI,SI,,82014020,"-33,0911311154911","-61,7917113876172"
,Caseros,Beravebú,2225,,--,--,--,,SI,,SI,SI,,,"-61,8622809808056"
SANTA FE,Caseros,Bigand,,SI,SI,--,,,--,SI,SI,SI,,"-33,3761183026397","-61,185501310201"
SANTA FE,,Casilda,34703,SI,,--,SI,--,,SI,,SI,82014050,"-33,0424955546762",
SANTA FE,,,6871,SI,,,SI,--,SI,SI,SI,,82014060,"-33,2470674643201","-61,3575935561826"
SANTA FE,Caseros,,5415,SI,SI,,SI,--,--,SI,SI,SI,,"-33,3258409849243","-62,0386496702618"
SANTA FE,,,290,SI,,,--,--,,,--,--,,,"-61,9448854961658"
SANTA FE,Castellanos,Bella Italia,,SI,SI,--,,--,SI,SI,SI,,82021070,"-31,2839795053037","-61,409342518123"
,Castellanos,Castellanos,,,SI,--,,,SI,SI,,,82021080,"-31,2085396563705",
SANTA FE,,,187,SI,,,SI,--,,,--,SI,82021090,,"-61,8509147420168"
SANTA FE,Castellanos,,118,--,--,,--,--,SI,,--,SI,,"-31,4338497252165","-61,8417021711297"
SANTA FE,Castellanos,,269,--,SI,,--,--,--,SI,--,,82021110,"-31,6868334221829","-61,6492968757313"
SANTA FE,,,123,SI,,,SI,--,,SI,,,82021120,"-30,8392235567556",
SANTA FE,Castellanos,Coronel Fraga,,--,--,--,,--,SI,SI,--,--,,"-31,176158616875","-61,9194620018005"
,Castellanos,Egusquiza,,,--,--,,,--,,--,SI,82021140,,"-61,6283124096055"
,Castellanos,Esmeralda,594,,SI,--,--,,--,SI,,,82021150,"-31,6178586482318",
,Castellanos,Estación Clucellas,,--,SI,--,,--,SI,SI,--,,82021160,"-31,52416914925","-61,7206457133884"
SANTA FE,,Estacion Presidente Roca,0,--,,--,--,--,,,--,--,,,"-61,6101076012158"
SANTA FE,Castellanos,,105,--,SI,,--,--,SI,--,--,--,,"-31,3174603823906","-61,6940034650798"
,Castellanos,Eusebia y Carolina,,,--,--,,,--,--,,,82021180,"-30,9476135702694",
,Castellanos,Eustolia,22,,--,--,--,,SI,--,,--,82021190,"-31,5777448514157",
SANTA FE,,,10520,--,,,--,--,,,SI,SI,,"-31,4313990849769","-62,0634917387843"
SANTA FE,Castellanos,,142,--,--,,--,--,--,,--,--,82021210,,"-61,8053907511433"
,General López,Lazzarino,,,--,--,,,--,--,,,82042160,"-34,1663295663381",
SAN LUIS,General Pedernera,Villa Mercedes,,SI,SI,SI,,--,SI,SI,,SI,74035070,"-33,6738636408858",
SAN LUIS,General Pedernera,Villa Reynolds,,--,--,--,,--,--,,SI,SI,74035080,,"-65,3814163660133"
,General Pedernera,Villa Salles,76,,--,--,--,,SI,,--,--,,,"-65,2147610955176"
SAN LUIS,,,631,--,--,,--,--,SI,SI,,SI,74042010,"-35,6746450244219",
SAN LUIS,,Arizona,1040,--,,SI,--,--,,SI,--,,74042020,"-35,7229145031177","-65,3187210360081"
,Gobernador Dupuy,Bagual,230,,--,--,--,,SI,SI,--,--,,"-35,1448484513353","-65,5676652450981"
,Gobernador Dupuy,Batavia,,,--,--,,,SI,,--,--,,,"-65,6862987148176"
SAN LUIS,Gobernador Dupuy,Buena Esperanza,,--,--,SI,,SI,SI,SI,--,,74042050,"-34,7582787968944","-65,2503691694475"
,Gobernador Dupuy,Fortín El Patria,480,,--,--,--,,SI,SI,,SI,74042060,"-34,769756515675",
SAN LUIS,Gobernador Dupuy,,82,--,--,,--,SI,SI,,--,--,,,"-65,3818218917708"
SAN LUIS,,,14,--,,,--,SI,,,--,--,74042080,,"-66,3264252245578"
SAN LUIS,,Los Overos,24,--,,--,--,--,,--,,--,74042090,"-35,8808971047928",
SAN LUIS,,,78,--,,,--,SI,,--,,,74042100,"-35,7111681131223",
,Gobernador Dupuy,Nahuel Mapá,66,,--,--,--,,SI,,--,--,74042110,,"-66,1701498297947"
,Gobernador Dupuy,Navia,,,--,--,,,SI,,--,--,,"-34,7726733665409","-66,5862788668642"
SAN LUIS,Gobernador Dupuy,,1353,--,,,--,--,SI,SI,--,,74042130,"-35,1124747000615","-65,2532109154966"
SANTA FE,,Humberto Primo,4751,SI,,--,SI,--,,SI,,,82021220,"-30,8702088524931",
,Castellanos,Josefina,,,SI,--,,,SI,SI,SI,SI,,"-31,4079691369305","-61,9921847239399"
SANTA FE,Castellanos,Lehmann,,SI,SI,--,,--,SI,,SI,SI,,,"-61,4529569120506"
SANTA FE,,María Juana,4853,SI,,--,SI,--,,SI,SI,,82021250,"-31,676627573626","-61,7536009774385"
SANTA FE,Castellanos,,90,--,--,,--,--,--,--,,,82021260,"-31,1189046819859",
SANTA FE,,,1530,SI,,,--,--,,,SI,SI,82021270,,"-61,7074756228147"
SANTA FE,,Plaza Saguier,262,--,,--,--,--,,--,--,SI,,"-31,3251049515902","-61,6777373324018"
,Castellanos,Presidente Roca,,,SI,--,,,SI,SI,,,82021290,"-31,2296979058147",
,Castellanos,Pueblo Marini,51,,--,--,--,,SI,--,--,,82021300,"-31,0409745475723","-61,8898826370338"
SANTA FE,,Rafaela,91571,SI,,--,SI,SI,,SI,SI,SI,,"-31,2482482413205","-61,4998117939868"
SANTA FE,Castellanos,,1694,SI,--,,--,--,,,SI,SI,82021320,,"-61,9032318673573"
SANTA FE,,San Antonio,272,--,,--,--,--,,--,,,82021330,"-31,2128134181244",
SANTA FE,Castellanos,,5655,SI,SI,,--,--,SI,SI,SI,,82021340,"-31,6999505604131","-61,5688417180763"
,Castellanos,Santa Clara de Saguier,,,SI,--,,,SI,,--,SI,82021350,,"-61,8181783780784"
SANTA FE,Castellanos,Sunchales,,SI,SI,--,,--,SI,SI,SI,SI,,"-30,9468555127161","-61,5612504315515"
,Castellanos,Susana,,,--,--,,,SI,SI,SI,,82021370,"-31,3575963913649","-61,5164389963223"
,Castellanos,Tacural,1169,,--,--,SI,,--,SI,,SI,82021380,"-30,8481071493852",
SANTA FE,,,1405,SI,,,--,--,,SI,SI,SI,,"-31,1923707919053","-61,8336140985666"
SANTA FE,,Villa Josefina,112,--,,--,--,--,,,--,--,,,"-62,0297169711427"
,Castellanos,Villa San José,220,,SI,--,--,,SI,SI,,--,82021410,"-31,3391346339244",
,Castellanos,Virginia,,--,--,--,,--,SI,--,,,82021420,"-30,7402529602428","-61,3409665931228"
SANTA FE,Castellanos,,1637,--,SI,,--,--,--,,SI,SI,82021430,,"-61,898425060781"
SANTA FE,,,7450,SI,,,SI,--,,,SI,SI,,,"-61,1246337163915"
SANTA FE,Constitución,Barrio Arroyo del Medio,,--,--,--,,--,--,--,,--,82028020,"-33,2860666179194",
,Constitución,Barrio Mitre,816,,--,--,--,,--,--,,,82028030,"-33,255594638469",
,Constitución,Bombal,3137,,SI,--,SI,,--,,SI,SI,,,"-61,3189324391797"
,Constitución,Cañada Rica,,,--,--,,,--,,--,SI,82028050,,"-60,6132968867711"
SANTA FE,,Cepeda,349,--,,--,--,--,,--,--,,82028060,"-33,3984208661427","-60,6241114199013"
SANTA FE,,,6241,SI,,,--,--,,SI,,SI,82028070,"-33,2628625471248",
SANTA FE,Constitución,Firmat,,--,--,--,,--,--,,--,--,,,"-61,473143421839"
,Constitución,General Gelly,610,,--,--,--,,SI,--,--,SI,,"-33,6018434911159","-60,5989383522422"
,Constitución,Godoy,,,--,--,,,SI,SI,,SI,82028100,"-33,3697098731789",
SANTA FE,Constitución,Juan B. Molina,,SI,--,--,,--,SI,SI,SI,,82028110,"-33,496020689866","-60,5122133295946"
SANTA FE,,,941,SI,,,SI,--,,,--,--,82028120,,"-61,0500179215707"
SANTA FE,Constitución,,385,--,--,,SI,--,--,,--,--,,,"-60,6584568664422"
SANTA FE,Constitución,,3441,SI,,,--,--,SI,SI,,,82028140,"-33,4851439474937",
SANTA FE,,Pavón,876,SI,,--,--,--,,SI,,SI,82028150,"-33,2430754805422",
SANTA FE,Constitución,Pavón Arriba,,--,--,--,,,SI,,SI,SI,,,"-60,8249758944661"
,Constitución,Peyrano,2517,,SI,--,--,,--,,--,SI,82028170,,"-60,804329558703"
SANTA FE,,Rueda,471,--,,--,--,--,,SI,,,82028180,"-33,335855095367",
SANTA FE,,,3039,SI,,,SI,--,,SI,SI,,82028190,"-33,4385471621789","-60,7911542772276"
SANTA FE,Constitución,Sargento Cabral,,--,--,--,,--,SI,,--,SI,,,"-60,6301906902003"
,Constitución,Stephenson,,,--,--,,,--,--,--,SI,,"-33,4178567628002","-60,5572137324943"
SANTA FE,Constitución,,421,--,--,,--,--,--,SI,,SI,82028220,"-33,3122172562755",
SANTA FE,,,47374,SI,,,SI,--,,SI,SI,,82028230,"-33,2324133911798","-60,3324988273466"
SANTA FE,,Cayastá,3367,--,,--,--,--,,SI,SI,SI,,"-31,2023253009306","-60,1614504193394"
SANTA FE,Garay,,5756,--,SI,,--,--,,,--,SI,82035020,,"-60,0881512872483"
,Garay,Los Zapallos,873,,SI,--,--,,--,SI,--,,82035030,"-31,4956365531425","-60,4286467714748"
SANTA FE,Garay,Saladero Mariano Cabal,,,--,--,,SI,SI,SI,,,82035040,"-30,9229849971234",
SANTA FE,,,3435,SI,,,--,--,,,SI,SI,82035050,,"-60,3348940800468"
SANTA FE,,Aarón Castellanos (Est. Castellanos),236,--,,--,--,--,,SI,--,SI,,"-34,3345323396045","-62,3748007656351"
SANTA FE,General López,,1605,SI,--,,--,--,SI,SI,SI,,82042020,"-34,136118440775","-62,4229084851079"
SANTA FE,,Cafferata,1449,SI,,--,SI,--,,--,,SI,82042030,"-33,4414158758935",
,Jáchal,San José de Jáchal,,,--,SI,,SI,SI,SI,SI,SI,,"-30,2427672850044","-68,7454934559357"
,Jáchal,Tamberías,622,,--,--,--,,SI,,--,--,,,"-68,7277857836372"
,Jáchal,Villa Malvinas Argentinas,,,--,--,,,SI,--,,,70056100,"-30,2142413595614",
SAN JUAN,Jáchal,Villa Mercedes,,--,--,--,,SI,SI,SI,--,,70056110,"-30,1088721898605","-68,7009429184891"
SAN JUAN,,,973,--,,,--,--,,,--,--,,,"-68,5597213740804"
SAN JUAN,Pocito,,231,--,--,,--,--,SI,--,SI,SI,,"-31,8595308229437","-68,5345166485174"
SAN JUAN,Pocito,Carpintería,,--,--,--,,--,SI,SI,,,70070020,"-31,8301409850684",
,Pocito,La Rinconada,,,--,--,,,--,--,,SI,70070010,"-31,6952378674877",
SAN JUAN,,Las Piedritas,588,--,,--,--,--,,,--,--,,,"-68,6080765638159"
SAN JUAN,,,1661,--,--,,--,--,SI,,SI,SI,70070030,,"-68,6001745092873"
,Pocito,Villa Aberastain,0,,--,--,--,,SI,--,SI,,70070010,"-31,65701277213",
SAN JUAN,Pocito,Villa Aberastain - La Rinconada,,SI,--,SI,,,SI,SI,,--,70070040,"-31,6952378674877",
SAN JUAN,Pocito,Villa Barbosa - Villa Nacusi,,--,--,--,,--,SI,,SI,SI,70070050,,"-68,5359580395485"
,Pocito,Villa Barboza,,,--,--,,,--,--,SI,SI,,"-31,5921799746836","-68,5723924425069"
SAN JUAN,Pocito,,778,--,--,,--,--,SI,--,,SI,70070060,"-31,668402703149",
SAN JUAN,,,0,--,,,--,--,,--,,,70070010,"-31,6219383886537",
,Rawson,El Medanito,0,,--,--,--,,SI,--,SI,--,,"-31,583482529045","-68,4697872532749"
SANTA FE,General López,Cañada del Ucle,,SI,--,--,,--,SI,,--,--,82042040,,"-61,6070433975613"
SANTA FE,General López,Carmen,,--,--,--,,--,SI,SI,,,82042050,"-33,7327788629688","-61,7609271479419"
,General López,Carreras,1906,,SI,--,--,,SI,SI,,SI,82042060,"-33,5982834566103",
SANTA FE,,,571,--,SI,,--,--,--,,SI,SI,,,"-61,7440181936851"
SANTA FE,,Chovet,2101,--,,--,--,SI,,,SI,SI,82042080,,"-61,6046646604986"
SANTA FE,,,499,--,,,SI,--,,SI,,SI,82042090,"-34,1846191181657",
SANTA FE,General López,,1855,SI,--,,SI,--,SI,SI,,,82042100,"-34,3743429234538",
,General López,Elortondo,,,--,--,,,--,,SI,SI,82042110,,"-61,6163727056605"
SANTA FE,General López,Firmat,,SI,SI,--,,--,--,SI,SI,SI,,"-33,4580496833225","-61,4914525089409"
SANTA FE,General López,,4598,--,--,,SI,--,--,SI,SI,,82042130,"-33,8028556653324","-61,3358033222625"
SANTA FE,,La Chispa,352,--,,,--,--,,SI,,,82042140,"-33,5446704008322",
,General López,Labordeboy,928,,--,--,--,,--,SI,--,SI,,"-33,7196527453715","-61,3149208168028"
,La Candelaria,El Tala,,--,--,--,,SI,SI,,SI,SI,,,"-65,2873058787689"
SALTA,,La Candelaria,649,--,,--,SI,--,,SI,--,,66084030,"-26,0961790089843","-65,0610119525095"
SALTA,La Poma,,143,--,--,,--,--,--,--,,--,66091010,"-23,6391998500842",
SALTA,La Poma,,614,--,--,,SI,--,SI,,--,--,,,"-66,1997385176463"
SALTA,,,118,--,,,--,--,,--,--,--,,"-25,355455514438","-65,5323044668329"
SALTA,La Viña,Cabra Corral,,--,--,--,,--,SI,--,,,66098020,"-25,290036707535",
,La Viña,Coronel Moldes,,,--,--,,,SI,SI,SI,,66098030,"-25,2889404681421","-65,4745373510335"
SALTA,,La Viña,1825,--,,--,SI,SI,,,--,SI,,,"-65,5719838890076"
SALTA,La Viña,,341,--,--,,--,--,SI,,--,--,66098050,,"-65,559672881754"
SALTA,,,218,--,,,SI,SI,,--,--,,66105010,"-24,1197745515994","-66,7142594000385"
SALTA,,San Antonio de los Cobres,4763,--,,--,SI,SI,,SI,,,66105020,"-24,2099310029638",
,Los Andes,Santa Rosa de los Pastos Grandes,,,--,--,,,SI,--,--,--,,"-24,478105777316","-66,6785400667592"
,Los Andes,Tolar Grande,230,,--,--,SI,,SI,,--,SI,,,"-67,4369653675359"
,Metán,El Galpón,,,--,--,SI,,--,SI,,SI,66112010,"-25,3915864503967",
SALTA,Metán,El Tunal,,--,--,--,,SI,--,--,--,,66112020,"-25,2652645771513","-64,4061042227155"
