Provincia,Partido,Localidad,Link Indec,Otros,"0,256 mbps","0,375 mbps","0,5 mbps","0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,"1,25 mbps","1,5 mbps",2 mbps,"2,2 mbps","2,5 mbps",3 mbps,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",5 mbps,6 mbps,"6,4 mbps",7 mbps,"7,5 mbps",8 mbps,9 mbps,10 mbps,11 mbps,12 mbps,13 mbps,14 mbps,15 mbps,16 mbps,17 mbps,18 mbps,19 mbps,20 mbps,21 mbps,22 mbps,23 mbps,24 mbps,25 mbps,"25,1 mbps","25,11 mbps","25,5 mbps",26 mbps,30 mbps,31 mbps,32 mbps,34 mbps,35 mbps,36 mbps,38 mbps,39 mbps,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,55 mbps,58 mbps,59 mbps,60 mbps,61 mbps,62 mbps,64 mbps,65 mbps,66 mbps,70 mbps,75 mbps,78 mbps,80 mbps,82 mbps,83 mbps,85 mbps,90 mbps,92 mbps,95 mbps,100 mbps
BUENOS AIRES,Necochea,Claraz,6581010,0,00,00,0,00,00,0,0,00,0,101,00,00,0,00,0,4,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Necochea,Costa Bonita,6581040,0,00,00,0,00,00,0,0,00,0,14,00,00,0,00,0,0,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Necochea,Energía,6581025,0,00,00,0,00,00,0,0,00,0,0,00,00,0,00,2,0,00,1,0,00,10,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Necochea,Juan N Fernández,6581030,0,00,00,2,00,00,0,0,00,0,575,00,00,60,00,0,3,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Necochea,Necochea - Quequén,6581040,0,00,00,1,00,00,113,3,00,0,0,00,00,14,00,"1,126",0,00,977,45,00,"1,039",00,"1,059",0,"1,555",00,155,00,00,"2,080",0,00,5,00,586,00,00,00,0,"1,684",00,00,00,00,447,00,00,00,00,00,00,00,0,00,00,00,00,"8,004",00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,"4,489"
BUENOS AIRES,Necochea,Nicanor Olivera  (Est La Dulce),6581050,0,00,00,0,00,00,0,193,00,0,22,00,00,285,00,11,0,00,48,0,00,65,00,0,0,89,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Necochea,Otros,Sin Datos,0,00,00,0,00,00,0,0,00,0,16,00,00,0,00,0,0,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Olavarría,Colonia Hinojo,6595070,1,00,00,0,00,00,0,0,00,0,0,00,00,0,00,0,0,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Olavarría,Hinojo,6595060,0,00,00,1,00,00,0,0,00,0,0,00,00,0,00,0,0,00,0,0,00,0,00,6,0,0,00,0,00,00,6,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Olavarría,Olavarría,6595070,3,00,00,5,00,00,5,1,00,0,2,00,00,123,00,227,0,00,685,1,00,0,00,470,0,"1,345",00,115,00,00,911,0,00,237,00,39,00,00,00,0,608,00,00,00,00,14,00,00,00,00,00,00,00,0,00,00,00,00,"9,478",00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,"9,011"
BUENOS AIRES,Olavarría,Sierra Chica,6595100,0,00,00,0,00,00,0,0,00,0,0,00,00,0,00,0,0,00,0,0,00,0,00,0,0,1,00,3,00,00,0,0,00,4,00,0,00,00,00,0,27,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,264,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,195
BUENOS AIRES,Olavarría,Sierras Bayas,6595110,0,00,00,0,00,00,0,0,00,0,0,00,00,0,00,28,0,00,0,0,00,0,00,90,0,0,00,0,00,00,157,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Olavarría,Villa Alfredo Fortabat,6595120,0,00,00,0,00,00,0,0,00,0,0,00,00,0,00,0,0,00,0,163,00,0,00,13,0,18,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,OTROS,Otros,Sin Datos,"38,864",00,00,"28,837",00,00,0,8,00,0,0,00,00,5,00,6,0,00,1,2,00,0,00,0,0,1,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Patagones,Bahía San Blas,6602010,0,00,00,0,00,00,0,0,00,0,3,00,00,0,00,0,1,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
