AÃ±o,Trimestre,Provincia,Mbps (Media de bajada),Unnamed: 4,Unnamed: 5
2020,4,Corrientes,25,00,00
2020,4,EntreRÃ­os,24,00,00
2020,4,Formosa,20,00,00
2020,4,Jujuy,25,00,00
2020,4,LaPampa,10,00,00
2020,4,LaRioja,13,00,00
2020,4,Mendoza,11,00,00
2020,4,Misiones,25,00,00
2020,4,NeuquÃ©n,34,00,00
2020,4,RÃ­oNegro,22,00,00
2020,4,Salta,25,00,00
2020,4,SanJuan,6,00,00
2020,4,SanLuis,21,00,00
2020,4,SantaCruz,7,00,00
2020,4,SantaFe,27,00,00
2020,4,SantiagoDelEstero,11,00,00
2020,4,TierraDelFuego,8,00,00
2020,4,TucumÃ¡n,36,00,00
2020,3,BuenosAires,48,00,00
2020,3,CapitalFederal,64,00,00
2020,3,Catamarca,37,00,00
2020,3,Chaco,31,00,00
2020,3,Chubut,7,00,00
2020,3,CÃ³rdoba,34,00,00
2020,3,Corrientes,24,00,00
2020,3,EntreRÃ­os,22,00,00
2020,3,Formosa,18,00,00
2020,3,Jujuy,22,00,00
2020,3,LaPampa,11,00,00
2020,3,LaRioja,12,00,00
2020,3,Mendoza,10,00,00
2020,3,Misiones,24,00,00
2020,3,NeuquÃ©n,31,00,00
2020,3,RÃ­oNegro,21,00,00
2020,3,Salta,25,00,00
2020,3,SanJuan,6,00,00
2020,3,SanLuis,21,00,00
2020,3,SantaCruz,7,00,00
2020,3,SantaFe,26,00,00
2020,3,SantiagoDelEstero,11,00,00
2020,3,TierraDelFuego,9,00,00
2020,3,TucumÃ¡n,35,00,00
2020,2,BuenosAires,46,00,00
2020,2,CapitalFederal,60,00,00
2020,2,Catamarca,35,00,00
2020,2,Chaco,28,00,00
2020,2,Chubut,8,00,00
2020,2,CÃ³rdoba,31,00,00
2020,2,Corrientes,22,00,00
2020,2,EntreRÃ­os,20,00,00
2020,2,Formosa,17,00,00
2020,2,Jujuy,16,00,00
2020,2,LaPampa,8,00,00
2020,2,LaRioja,12,00,00
2020,2,Mendoza,9,00,00
2020,2,Misiones,23,00,00
2020,2,NeuquÃ©n,29,00,00
2020,2,RÃ­oNegro,20,00,00
2020,2,Salta,23,00,00
2020,2,SanJuan,6,00,00
2020,2,SanLuis,21,00,00
2020,2,SantaCruz,7,00,00
2020,2,SantaFe,24,00,00
2020,2,SantiagoDelEstero,10,00,00
2020,2,TierraDelFuego,8,00,00
2020,2,TucumÃ¡n,33,00,00
2020,1,BuenosAires,45,00,00
2020,1,CapitalFederal,59,00,00
2020,1,Catamarca,29,00,00
2020,1,Chaco,26,00,00
2020,1,Chubut,7,00,00
2020,1,CÃ³rdoba,29,00,00
2020,1,Corrientes,21,00,00
2020,1,EntreRÃ­os,19,00,00
2020,1,Formosa,16,00,00
2020,1,Jujuy,14,00,00
2020,1,LaPampa,7,00,00
2020,1,LaRioja,8,00,00
2020,1,Mendoza,8,00,00
2020,1,Misiones,22,00,00
2020,1,NeuquÃ©n,28,00,00
2020,1,RÃ­oNegro,19,00,00
2020,1,Salta,21,00,00
2020,1,SanJuan,6,00,00
2020,1,SanLuis,21,00,00
2020,1,SantaCruz,6,00,00
2020,1,SantaFe,22,00,00
2020,1,SantiagoDelEstero,10,00,00
2020,1,TierraDelFuego,7,00,00
2020,1,TucumÃ¡n,32,00,00
2019,4,BuenosAires,31,00,00
2019,4,CapitalFederal,44,00,00
2019,4,Catamarca,25,00,00
2019,4,Chaco,23,00,00
2019,4,Chubut,7,00,00
2019,4,CÃ³rdoba,26,00,00
2019,4,Corrientes,19,00,00
2019,4,EntreRÃ­os,17,00,00
2019,4,Formosa,15,00,00
2019,4,Jujuy,13,00,00
2019,4,LaPampa,7,00,00
2019,4,LaRioja,8,00,00
2019,4,Mendoza,8,00,00
2019,4,Misiones,20,00,00
2019,4,NeuquÃ©n,26,00,00
2019,4,RÃ­oNegro,17,00,00
2019,4,Salta,19,00,00
2019,4,SanJuan,6,00,00
2019,4,SanLuis,21,00,00
2019,4,SantaCruz,5,00,00
2019,4,SantaFe,21,00,00
2019,4,SantiagoDelEstero,10,00,00
2019,4,TierraDelFuego,7,00,00
2019,4,TucumÃ¡n,30,00,00
2019,3,BuenosAires,26,00,00
2019,3,CapitalFederal,39,00,00
2019,3,Catamarca,9,00,00
2019,3,Chaco,20,00,00
2019,3,Chubut,7,00,00
2019,3,CÃ³rdoba,23,00,00
2019,3,Corrientes,17,00,00
2019,3,EntreRÃ­os,15,00,00
2019,3,Formosa,13,00,00
2019,3,Jujuy,12,00,00
2019,3,LaPampa,6,00,00
2019,3,LaRioja,8,00,00
2019,3,Mendoza,6,00,00
2019,3,Misiones,18,00,00
2019,3,NeuquÃ©n,24,00,00
2019,3,RÃ­oNegro,16,00,00
2019,3,Salta,15,00,00
2019,3,SanJuan,6,00,00
2019,3,SanLuis,20,00,00
2019,3,SantaCruz,5,00,00
2019,3,SantaFe,18,00,00
2019,3,SantiagoDelEstero,9,00,00
2019,3,TierraDelFuego,7,00,00
2019,3,TucumÃ¡n,19,00,00
2019,2,BuenosAires,22,00,00
2019,2,CapitalFederal,30,00,00
2019,2,Catamarca,9,00,00
2019,2,Chaco,16,00,00
2019,2,Chubut,6,00,00
2019,2,CÃ³rdoba,18,00,00
2019,2,Corrientes,14,00,00
2019,2,EntreRÃ­os,12,00,00
2019,2,Formosa,11,00,00
2019,2,Jujuy,12,00,00
2019,2,LaPampa,5,00,00
2019,2,LaRioja,8,00,00
2019,2,Mendoza,6,00,00
2019,2,Misiones,14,00,00
2019,2,NeuquÃ©n,17,00,00
2019,2,RÃ­oNegro,12,00,00
2019,2,Salta,13,00,00
2019,2,SanJuan,6,00,00
2019,2,SanLuis,20,00,00
2019,2,SantaCruz,6,00,00
2019,2,SantaFe,15,00,00
2019,2,SantiagoDelEstero,7,00,00
2019,2,TierraDelFuego,6,00,00
2019,2,TucumÃ¡n,19,00,00
2019,1,BuenosAires,20,00,00
2019,1,CapitalFederal,25,00,00
2019,1,Catamarca,8,00,00
2019,1,Chaco,13,00,00
2019,1,Chubut,6,00,00
2019,1,CÃ³rdoba,16,00,00
2019,1,Corrientes,12,00,00
2019,1,EntreRÃ­os,11,00,00
2019,1,Formosa,10,00,00
2019,1,Jujuy,9,00,00
2019,1,LaPampa,5,00,00
2019,1,LaRioja,7,00,00
2019,1,Mendoza,6,00,00
2019,1,Misiones,13,00,00
2019,1,NeuquÃ©n,16,00,00
2019,1,RÃ­oNegro,10,00,00
2019,1,Salta,10,00,00
2019,1,SanJuan,6,00,00
2019,1,SanLuis,9,00,00
2019,1,SantaCruz,6,00,00
2019,1,SantaFe,13,00,00
2019,1,SantiagoDelEstero,6,00,00
2019,1,TierraDelFuego,6,00,00
2019,1,TucumÃ¡n,17,00,00
2018,4,BuenosAires,17,00,00
2018,4,CapitalFederal,23,00,00
2018,4,Catamarca,8,00,00
2018,4,Chaco,13,00,00
2018,4,Chubut,6,00,00
2018,4,CÃ³rdoba,16,00,00
2018,4,Corrientes,12,00,00
2018,4,EntreRÃ­os,11,00,00
2018,4,Formosa,10,00,00
2018,4,Jujuy,9,00,00
2018,4,LaPampa,4,00,00
2018,4,LaRioja,7,00,00
2018,4,Mendoza,6,00,00
2018,4,Misiones,12,00,00
2018,4,NeuquÃ©n,16,00,00
2018,4,RÃ­oNegro,10,00,00
2018,4,Salta,10,00,00
2018,4,SanJuan,6,00,00
2018,4,SanLuis,9,00,00
2018,4,SantaCruz,5,00,00
2018,4,SantaFe,13,00,00
2018,4,SantiagoDelEstero,6,00,00
2018,4,TierraDelFuego,7,00,00
2018,4,TucumÃ¡n,17,00,00
2018,3,BuenosAires,17,00,00
2018,3,CapitalFederal,22,00,00
2018,3,Catamarca,8,00,00
2018,3,Chaco,13,00,00
2018,3,Chubut,6,00,00
2018,3,CÃ³rdoba,15,00,00
2018,3,Corrientes,11,00,00
2018,3,EntreRÃ­os,11,00,00
2018,3,Formosa,9,00,00
2018,3,Jujuy,8,00,00
2018,3,LaPampa,4,00,00
2018,3,LaRioja,6,00,00
2018,3,Mendoza,6,00,00
2018,3,Misiones,12,00,00
2018,3,NeuquÃ©n,15,00,00
2018,3,RÃ­oNegro,10,00,00
2018,3,Salta,9,00,00
2018,3,SanJuan,6,00,00
2018,3,SanLuis,9,00,00
2018,3,SantaCruz,5,00,00
2018,3,SantaFe,12,00,00
2018,3,SantiagoDelEstero,6,00,00
2018,3,TierraDelFuego,6,00,00
2018,3,TucumÃ¡n,15,00,00
2018,2,BuenosAires,15,00,00
2018,2,CapitalFederal,19,00,00
2018,2,Catamarca,8,00,00
2018,2,Chaco,12,00,00
2018,2,Chubut,5,00,00
2018,2,CÃ³rdoba,14,00,00
2018,2,Corrientes,11,00,00
2018,2,EntreRÃ­os,10,00,00
2018,2,Formosa,9,00,00
2018,2,Jujuy,6,00,00
2018,2,LaPampa,4,00,00
2018,2,LaRioja,6,00,00
2018,2,Mendoza,6,00,00
2018,2,Misiones,12,00,00
2018,2,NeuquÃ©n,13,00,00
2018,2,RÃ­oNegro,10,00,00
2018,2,Salta,9,00,00
2018,2,SanJuan,6,00,00
2018,2,SanLuis,6,00,00
2018,2,SantaCruz,5,00,00
2018,2,SantaFe,12,00,00
2018,2,SantiagoDelEstero,6,00,00
2018,2,TierraDelFuego,6,00,00
2018,2,TucumÃ¡n,14,00,00
2018,1,BuenosAires,14,00,00
2018,1,CapitalFederal,18,00,00
2018,1,Catamarca,8,00,00
2018,1,Chaco,12,00,00
2018,1,Chubut,5,00,00
2018,1,CÃ³rdoba,13,00,00
2018,1,Corrientes,11,00,00
2018,1,EntreRÃ­os,10,00,00
2018,1,Formosa,11,00,00
2018,1,Jujuy,7,00,00
2018,1,LaPampa,4,00,00
2018,1,LaRioja,6,00,00
2018,1,Mendoza,6,00,00
2018,1,Misiones,12,00,00
2018,1,NeuquÃ©n,12,00,00
2018,1,RÃ­oNegro,9,00,00
2018,1,Salta,9,00,00
2018,1,SanJuan,6,00,00
2018,1,SanLuis,6,00,00
2018,1,SantaCruz,5,00,00
2018,1,SantaFe,11,00,00
2018,1,SantiagoDelEstero,6,00,00
2018,1,TierraDelFuego,6,00,00
