,Año,Trimestre,Provincia,Mbps (Media de bajada),Unnamed: 4,Unnamed: 5
163,2021,1,Santa Cruz,8,0,0
164,2021,1,Santa Fe,28,0,0
165,2021,1,Santiago Del Estero,12,0,0
166,2021,1,Tierra Del Fuego,9,0,0
167,2021,1,Tucumán,38,0,0
168,2020,4,Buenos Aires,50,0,0
169,2020,4,Capital Federal,67,0,0
170,2020,4,Catamarca,38,0,0
171,2020,4,Chaco,32,0,0
172,2020,4,Chubut,7,0,0
173,2020,4,Córdoba,35,0,0
174,2020,4,Corrientes,25,0,0
175,2020,4,Entre Ríos,24,0,0
176,2020,4,Formosa,20,0,0
177,2020,4,Jujuy,25,0,0
178,2020,4,La Pampa,10,0,0
179,2020,4,La Rioja,13,0,0
180,2020,4,Mendoza,11,0,0
181,2020,4,Misiones,25,0,0
182,2020,4,Neuquén,34,0,0
183,2020,4,Río Negro,22,0,0
184,2020,4,Salta,25,0,0
185,2020,4,San Juan,6,0,0
186,2020,4,San Luis,21,0,0
187,2020,4,Santa Cruz,7,0,0
188,2020,4,Santa Fe,27,0,0
189,2020,4,Santiago Del Estero,11,0,0
190,2020,4,Tierra Del Fuego,8,0,0
191,2020,4,Tucumán,36,0,0
192,2020,3,Buenos Aires,48,0,0
193,2020,3,Capital Federal,64,0,0
194,2020,3,Catamarca,37,0,0
195,2020,3,Chaco,31,0,0
196,2020,3,Chubut,7,0,0
197,2020,3,Córdoba,34,0,0
198,2020,3,Corrientes,24,0,0
199,2020,3,Entre Ríos,22,0,0
200,2020,3,Formosa,18,0,0
201,2020,3,Jujuy,22,0,0
202,2020,3,La Pampa,11,0,0
203,2020,3,La Rioja,12,0,0
204,2020,3,Mendoza,10,0,0
205,2020,3,Misiones,24,0,0
206,2020,3,Neuquén,31,0,0
207,2020,3,Río Negro,21,0,0
208,2020,3,Salta,25,0,0
209,2020,3,San Juan,6,0,0
210,2020,3,San Luis,21,0,0
211,2020,3,Santa Cruz,7,0,0
212,2020,3,Santa Fe,26,0,0
213,2020,3,Santiago Del Estero,11,0,0
214,2020,3,Tierra Del Fuego,9,0,0
215,2020,3,Tucumán,35,0,0
216,2020,2,Buenos Aires,46,0,0
217,2020,2,Capital Federal,60,0,0
218,2020,2,Catamarca,35,0,0
219,2020,2,Chaco,28,0,0
220,2020,2,Chubut,8,0,0
221,2020,2,Córdoba,31,0,0
222,2020,2,Corrientes,22,0,0
223,2020,2,Entre Ríos,20,0,0
224,2020,2,Formosa,17,0,0
225,2020,2,Jujuy,16,0,0
226,2020,2,La Pampa,8,0,0
227,2020,2,La Rioja,12,0,0
