Codigo;Persona
637134;8378
637135;11637
637136;15545
637137;21593
640801;17185
640802;13386
640803;11112
640804;18243
640805;11183
640806;7876
640807;8762
640808;13260
640809;8188
640810;8978
640811;9737
640812;14382
640813;14890
640814;12679
640815;11380
641001;16359
641002;8792
641003;13163
641004;16295
641005;17614
641006;16624
641007;16706
641008;9553
641009;9264
641010;11391
641011;9724
641012;11505
641013;10834
641201;18247
641202;12858
641203;15076
641204;14707
641205;14808
641206;14192
641207;19839
641208;17331
641209;21875
641210;29899
641211;24998
641212;13828
641213;15853
641214;17307
641215;15163
642701;8715
642702;9859
642703;9023
642704;9728
642705;12124
642706;13279
642707;14258
642708;15271
642709;16911
642710;13928
642711;12805
642712;9456
642713;14095
642714;29831
642715;13724
642716;15806
642717;22018
642718;30201
642719;10954
642720;17793
642721;10952
642722;10117
642723;15814
642724;13969
642725;21280
642726;12403
642727;9479
642728;11410
642729;14125
642730;8837
642731;8581
642732;9893
642733;12664
642734;16696
642735;13029
642736;9038
642737;12139
642738;12855
642739;12639
642740;20032
642741;21537
642742;15468
642743;13996
642744;12340
642745;14272
642746;22441
642747;13446
642748;22643
642749;19536
642750;16202
642751;17812
642752;21738
642753;17503
642754;20201
642755;16750
642756;20426
642757;17698
642758;18670
642759;16099
642760;27578
642761;24411
642762;22162
642763;19070
642764;23441
642765;26321
642766;15694
642767;27568
642768;10632
642769;24072
642770;23053
642771;20015
642772;16388
642773;27167
642774;33919
642775;28239
642776;33434
642777;22704
642778;22092
642779;15814
642780;23927
642781;11427
642782;22479
642783;21240
642784;27042
642785;20019
642786;17840
642787;17545
642788;20597
642789;31173
642790;20060
642791;17858
642792;30476
642793;26073
642794;23548
642795;28763
642796;26192
642797;31274
643401;10628
643402;7233
643403;10589
643404;7453
643405;7742
643406;9120
643407;11211
643408;17995
643409;19053
643410;11698
643411;12784
643412;8342
643413;11182
643414;6321
643415;8438
643416;10647
643417;7690
643418;9228
643419;8261
643420;8838
643421;9425
643422;14228
643423;16212
643424;7871
643425;15006
643426;19735
643427;9989
643428;14946
643429;9702
643430;7496
643431;8819
643432;8948
643433;7074
643434;13408
643435;11981
643436;7464
643437;6314
643438;6629
643439;6574
643440;6027
643441;7304
643442;7216
643443;6881
643444;11412
643445;14149
649001;11862
649002;15969
649003;13673
649004;17354
649005;18655
649006;13358
649007;14196
649008;6625
649009;7285
649010;12896
649011;11289
649012;8265
649013;15538
649014;11637
649015;10477
649016;8854
649017;11446
649018;18163
649019;9302
649020;7611
649021;7982
649022;5661
649023;7914
649024;6485
649025;6616
649026;10368
649027;13758
649028;10432
649029;15322
649030;11641
649031;12698
649032;14024
649033;12592
649034;20011
649035;22349
649036;15249
649037;17972
649038;20648
649039;24073
649040;21376
649041;157
649042;7235
649043;10979
649044;14062
649045;7879
649046;9135
649047;9762
649048;7806
649049;8924
